lat,lng,altitude,
37.51462455,126.9436669,0,
37.51462455,126.9436669,0,
37.51462662,126.9436883,0,
37.5146419,126.9440013,0,
37.51471664,126.9446625,0,
37.51473285,126.9448427,0,
37.51488784,126.9454691,0,
37.51505311,126.9459079,0,
37.51528957,126.9463939,0,
37.51549092,126.9467359,0,
37.51568007,126.9469939,0,
37.51604742,126.9474255,0,
37.51680022,126.9482793,0,
37.51754996,126.9491444,0,
37.51831028,126.95,0,
37.51844572,126.9501524,0,
37.51930362,126.9511362,0,
37.52031447,126.9522861,0,
37.5213785,126.9534984,0,
37.52232263,126.9545669,0,
37.52297812,126.9553157,0,
37.52382352,126.9562563,0,
37.52422166,126.9567157,0,
37.52435011,126.9568685,0,
37.52464929,126.9572359,0,
37.52500057,126.9577056,0,
37.52507504,126.9578052,0,
37.52548312,126.9583746,0,
37.52583514,126.9588824,0,
37.52624143,126.9594792,0,
37.5264356,126.9597615,0,
37.52657667,126.9599503,0,
37.52672631,126.9601451,0,
37.52687792,126.9603272,0,
37.52706792,126.960549,0,
37.52726054,126.960761,0,
37.52736239,126.960871,0,
37.5274956,126.9610147,0,
37.52765783,126.9611677,0,
37.5279758,126.9614634,0,
37.52823798,126.9617058,0,
37.52854541,126.9619904,0,
37.52876685,126.9621998,0,
37.52894116,126.9623763,0,
37.52900236,126.9624446,0,
37.52916442,126.9626386,0,
37.52933884,126.96288,0,
37.52941665,126.9629939,0,
37.53106908,126.9655418,0,
37.53117629,126.9656885,0,
37.53154973,126.9662112,0,
37.53198833,126.9668197,0,
37.53228361,126.9672226,0,
37.53250372,126.9675286,0,
37.53270336,126.9678006,0,
37.53291662,126.9680991,0,
37.53291662,126.9680991,0,
37.53305616,126.9683438,0,
37.53305616,126.9683438,0,
37.5331116,126.9684262,0,
37.5333829,126.9688072,0,
37.53362995,126.9691585,0,
37.53366775,126.9692073,0,
37.53366775,126.9692073,0,
37.53370468,126.969255,0,
37.53370468,126.969255,0,
37.53380983,126.9693907,0,
37.53380983,126.9693907,0,
37.53386081,126.9694565,0,
37.53386081,126.9694565,0,
37.53408691,126.9697483,0,
37.53426833,126.9699322,0,
37.53444551,126.9700845,0,
37.53452031,126.9701429,0,
37.53461709,126.9702185,0,
37.53491583,126.9704255,0,
37.5351139,126.9705441,0,
37.53530115,126.9706394,0,
37.53540146,126.9706862,0,
37.535543,126.9707522,0,
37.53579395,126.9708365,0,
37.53612996,126.9709246,0,
37.53640595,126.9709884,0,
37.53676014,126.9710326,0,
